,model,ACT
133,Multi-CNN VS Kyo Kusanagi,0
134,Multi-CNN VS Kyo Kusanagi,0
135,Multi-CNN VS Kyo Kusanagi,0
136,Multi-CNN VS Kyo Kusanagi,0
137,Multi-CNN VS Kyo Kusanagi,0
138,Multi-CNN VS Kyo Kusanagi,0
139,Multi-CNN VS Kyo Kusanagi,0
140,Multi-CNN VS Kyo Kusanagi,0
141,Multi-CNN VS Kyo Kusanagi,0
142,Multi-CNN VS Kyo Kusanagi,0
143,Multi-CNN VS Kyo Kusanagi,0
144,Multi-CNN VS Kyo Kusanagi,0
145,Multi-CNN VS Kyo Kusanagi,0
146,Multi-CNN VS Kyo Kusanagi,0
147,Multi-CNN VS Kyo Kusanagi,0
148,Multi-CNN VS Kyo Kusanagi,0
149,Multi-CNN VS Kyo Kusanagi,0
150,Multi-CNN VS Kyo Kusanagi,0
151,Multi-CNN VS Kyo Kusanagi,0
152,Multi-CNN VS Kyo Kusanagi,0
153,Multi-CNN VS Kyo Kusanagi,0
154,Multi-CNN VS Kyo Kusanagi,0
155,Multi-CNN VS Kyo Kusanagi,0
156,Multi-CNN VS Kyo Kusanagi,0
157,Multi-CNN VS Kyo Kusanagi,0
158,Multi-CNN VS Kyo Kusanagi,0
159,Multi-CNN VS Kyo Kusanagi,0
160,Multi-CNN VS Kyo Kusanagi,0
161,Multi-CNN VS Kyo Kusanagi,0
162,Multi-CNN VS Kyo Kusanagi,0
163,Multi-CNN VS Kyo Kusanagi,0
164,Multi-CNN VS Kyo Kusanagi,0
165,Multi-CNN VS Kyo Kusanagi,0
166,Multi-CNN VS Kyo Kusanagi,0
167,Multi-CNN VS Kyo Kusanagi,0
168,Multi-CNN VS Kyo Kusanagi,0
169,Multi-CNN VS Kyo Kusanagi,0
170,Multi-CNN VS Kyo Kusanagi,0
171,Multi-CNN VS Kyo Kusanagi,0
172,Multi-CNN VS Kyo Kusanagi,0
173,Multi-CNN VS Kyo Kusanagi,0
174,Multi-CNN VS Kyo Kusanagi,0
175,Multi-CNN VS Kyo Kusanagi,0
176,Multi-CNN VS Kyo Kusanagi,0
177,Multi-CNN VS Kyo Kusanagi,0
178,Multi-CNN VS Kyo Kusanagi,0
179,Multi-CNN VS Kyo Kusanagi,0
180,Multi-CNN VS Kyo Kusanagi,0
181,Multi-CNN VS Kyo Kusanagi,0
182,Multi-CNN VS Kyo Kusanagi,0
183,Multi-CNN VS Kyo Kusanagi,0
184,Multi-CNN VS Kyo Kusanagi,0
185,Multi-CNN VS Kyo Kusanagi,0
186,Multi-CNN VS Kyo Kusanagi,0
187,Multi-CNN VS Kyo Kusanagi,0
188,Multi-CNN VS Kyo Kusanagi,0
189,Multi-CNN VS Kyo Kusanagi,0
190,Multi-CNN VS Kyo Kusanagi,0
191,Multi-CNN VS Kyo Kusanagi,0
192,Multi-CNN VS Kyo Kusanagi,0
193,Multi-CNN VS Kyo Kusanagi,0
194,Multi-CNN VS Kyo Kusanagi,0
195,Multi-CNN VS Kyo Kusanagi,0
196,Multi-CNN VS Kyo Kusanagi,0
197,Multi-CNN VS Kyo Kusanagi,0
198,Multi-CNN VS Kyo Kusanagi,0
199,Multi-CNN VS Kyo Kusanagi,0
200,Multi-CNN VS Kyo Kusanagi,0
201,Multi-CNN VS Kyo Kusanagi,0
202,Multi-CNN VS Kyo Kusanagi,0
203,Multi-CNN VS Kyo Kusanagi,0
204,Multi-CNN VS Kyo Kusanagi,0
205,Multi-CNN VS Kyo Kusanagi,0
206,Multi-CNN VS Kyo Kusanagi,0
207,Multi-CNN VS Kyo Kusanagi,0
208,Multi-CNN VS Kyo Kusanagi,0
209,Multi-CNN VS Kyo Kusanagi,0
210,Multi-CNN VS Kyo Kusanagi,0
211,Multi-CNN VS Kyo Kusanagi,0
212,Multi-CNN VS Kyo Kusanagi,0
213,Multi-CNN VS Kyo Kusanagi,0
214,Multi-CNN VS Kyo Kusanagi,0
215,Multi-CNN VS Kyo Kusanagi,0
216,Multi-CNN VS Kyo Kusanagi,0
217,Multi-CNN VS Kyo Kusanagi,0
218,Multi-CNN VS Kyo Kusanagi,0
219,Multi-CNN VS Kyo Kusanagi,0
220,Multi-CNN VS Kyo Kusanagi,0
221,Multi-CNN VS Kyo Kusanagi,0
222,Multi-CNN VS Kyo Kusanagi,0
223,Multi-CNN VS Kyo Kusanagi,0
224,Multi-CNN VS Kyo Kusanagi,0
225,Multi-CNN VS Kyo Kusanagi,0
226,Multi-CNN VS Kyo Kusanagi,0
227,Multi-CNN VS Kyo Kusanagi,0
228,Multi-CNN VS Kyo Kusanagi,0
229,Multi-CNN VS Kyo Kusanagi,0
230,Multi-CNN VS Kyo Kusanagi,0
231,Multi-CNN VS Kyo Kusanagi,0
232,Multi-CNN VS Kyo Kusanagi,0
233,Multi-CNN VS Kyo Kusanagi,0
234,Multi-CNN VS Kyo Kusanagi,0
235,Multi-CNN VS Kyo Kusanagi,0
236,Multi-CNN VS Kyo Kusanagi,0
237,Multi-CNN VS Kyo Kusanagi,0
238,Multi-CNN VS Kyo Kusanagi,0
239,Multi-CNN VS Kyo Kusanagi,0
240,Multi-CNN VS Kyo Kusanagi,0
241,Multi-CNN VS Kyo Kusanagi,0
242,Multi-CNN VS Kyo Kusanagi,0
243,Multi-CNN VS Kyo Kusanagi,0
244,Multi-CNN VS Kyo Kusanagi,0
245,Multi-CNN VS Kyo Kusanagi,0
246,Multi-CNN VS Kyo Kusanagi,0
247,Multi-CNN VS Kyo Kusanagi,0
248,Multi-CNN VS Kyo Kusanagi,0
249,Multi-CNN VS Kyo Kusanagi,0
250,Multi-CNN VS Kyo Kusanagi,0
251,Multi-CNN VS Kyo Kusanagi,0
252,Multi-CNN VS Kyo Kusanagi,0
253,Multi-CNN VS Kyo Kusanagi,0
254,Multi-CNN VS Kyo Kusanagi,0
255,Multi-CNN VS Kyo Kusanagi,0
256,Multi-CNN VS Kyo Kusanagi,0
257,Multi-CNN VS Kyo Kusanagi,0
258,Multi-CNN VS Kyo Kusanagi,0
259,Multi-CNN VS Kyo Kusanagi,0
260,Multi-CNN VS Kyo Kusanagi,0
261,Multi-CNN VS Kyo Kusanagi,0
